,artist,total
1,Walker Evans,7547
2,Topps Chewing Gum Company,2273
3,American Tobacco Company,2051
4,Exhibit Supply Company,1522
5,Reginald Marsh,1005
6,Turkish Trophies Cigarettes,738
7,Bowman Gum Company,641
8,J. Claude Fr�res & Co. | Unknown Designer,602
9,Giorgio di Sant'Angelo,519
10,Stephen Shore,477
