,artist,total
1,Jacques Callot,1368
2,Giovanni Battista Piranesi,862
3,Jean Le Pautre | Pierre Mariette le fils,589
4,Stefano della Bella,550
5,Meissen Manufactory,466
6,Wenceslaus Hollar,432
7,Rembrandt (Rembrandt van Rijn),298
8,Antonio Tempesta,281
9,Chelsea Porcelain Manufactory,280
10,Jan van de Velde II,244
