,artist,total
1,Albrecht Dürer,675
2,Jacques Androuet Du Cerceau,654
3,Sebald Beham,298
4,Andrea Schiavone (Andrea Meldola),197
5,Etienne Delaune,184
6,Lucas van Leyden,182
7,Enea Vico,177
8,Philips Galle|Maarten van Heemskerck,173
9,Heinrich Aldegrever,169
10,Lucas Cranach the Elder,157
