,artist,total
1,Abu'l Qasim Firdausi,69
2,Bernardo Daddi,10
3,Muhammad al-Zanjani,8
4,Simone Martini,7
5,Segna di Buonaventura,7
6,Emperor Lizong,6
7,"Abu'l Qasim Firdausi|Hasan ibn Muhammad ibn `Ali ibn (?) Husaini, known as al-Mausili|al-Hasan Qawam al-Daula wa'l-Din",5
8,Jin Chushi,5
9,Badi' al-Zaman ibn al-Razzaz al-Jazari,4
10,Ryūshū Shūtaku (Myōtaku),4
