,artist,total
1,"W. Duke, Sons & Co.",5025
2,Kinney Brothers Tobacco Company,3898
3,Allen & Ginter,3865
4,Brewster & Co.,2999
5,Goodwin & Company,2755
6,William S. Kimball & Company,1110
7,Auguste Edouart,869
8,Utagawa Hiroshige,611
9,T. Peters and Sons,537
10,James McNeill Whistler,496
